"line","YDHPL","YDHA","PLHA","DF","DPM","SW100","TSW","POM","PHI"
"A_154",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAB_001-b",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAB_011",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABD_054",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABD_058",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABD_066",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABD_185",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABD_206",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_005",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_006",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_007",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_008",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_009",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_010",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_011",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_012",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_013",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_014",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_015",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_017",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_018",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_019",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_020",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_022",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_023",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_024",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_025",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_026",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_027",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_028",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_029",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_030",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_031",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_032",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_033",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_034",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_035",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_036",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_037",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_038",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_039",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_041",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_042",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_043",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_044",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_045",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_046",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_047",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_048",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_049",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_050",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_051",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_052",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_054",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_055",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_056",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_057",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_058",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_059",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABU_061",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACC_001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACC_002",2004.63279218029,2600.05025106873,27.6366667051173,40.2231273166471,80.5301764779729,50.0950685601238,305.593770373741,11.5825519617601,73.2731099925049
"ACC_003",1593.07773249042,1814.31912715299,27.0112985264395,45.1565286425198,82.7207450407614,49.9606582323006,217.942387818414,11.5914784668262,71.3677712273641
"ACC_004",1535.64826799529,1705.13266172041,27.0514368278536,40.8066716742388,82.0454884640368,53.8122234096029,208.390789327751,11.5875109793663,71.5265930077095
"ACC_005",1984.58269204735,2537.40901991595,27.3535402488354,40.8397559837343,81.1024598307227,60.1449937629229,291.541951682285,11.5911412702299,74.8501113495101
"ACC_006",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACC_007",1830.8419507811,2285.68074553157,27.5789697939082,40.1112108641979,80.8819306636412,44.1003278568821,271.850519708197,11.591718633222,75.6347377948816
"ACC_008",1903.09601900857,2538.13177596605,27.8541749014668,40.2451572251475,81.2410944554371,53.334616608467,291.298562657588,11.5919449200402,73.8618719753299
"ACC_009",2007.0928791726,2605.66760809092,27.672490662671,42.879158041911,81.9047492291228,52.8076942812182,305.261707778633,11.5831376161996,77.150684418183
"ACC_010",1916.65273425093,2335.35189573773,27.196798557408,40.3587372979418,80.915867981993,48.7856803515476,274.744979168672,11.5965864437372,74.9406678934694
"ACC_011",1696.84786915781,2076.36286757841,27.7174544048137,39.5573811787165,81.3432334169321,51.1180033873553,244.547754086568,11.5887643197597,74.3040217292191
"ACC_012",2122.92955417389,2913.16142286211,27.9186042967631,41.8382605389764,82.5764723097456,55.2092729894353,337.628254687646,11.5818746316703,76.4403713048493
"ACC_013",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACC_014",1785.19605823683,2154.09430862969,27.4947091477118,45.3790384145959,82.3559496387595,50.2268926396034,258.393242489094,11.5919747507461,75.2044512665298
"ACC_015",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACC_016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACC_017",1370.26585118242,1540.99636187479,27.3288639442854,43.3576069850231,82.3462976457803,51.7788032882477,186.675247902921,11.5707642416289,69.2653043753937
"ACC_018",1732.22890233113,2179.30463407019,27.5718062369382,40.312109986322,80.7452810975698,51.5609878804764,258.281362595585,11.5834936425267,75.519608755555
"ACC_019",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACC_020",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACC_021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACC_022",2060.00494557868,2672.07326229454,27.4312441889612,40.2167463610668,80.0885855071336,53.2886464942514,308.772853146499,11.5793862166546,78.2866617702756
"ACC_023",2536.79921605477,2944.81484316697,27.1298526554235,39.8868126650421,81.6388012835466,50.2307642791527,338.304406959128,11.5838842562405,71.4491484436742
"ACC_024",1767.75485192556,2243.78553130764,27.7774076882884,40.588324068816,82.1818930246885,49.613397393851,264.550377723908,11.5828404724246,74.9397292739651
"ACC_025",1572.80316869211,1834.26340442824,27.3528706638024,40.4240942400009,81.9161670192792,40.3414080030568,218.196698752278,11.5828681140333,72.0025594384788
"ACC_026",1622.98313719556,1935.24467895036,27.5303003710516,41.2681412389102,82.1438930518545,46.5232431988731,231.107330870011,11.5864796971014,71.6894707015706
"ACC_027",1647.54272264215,1772.00594461733,27.7168365712565,41.368699981875,81.842529443741,50.6365229185623,246.307297219274,11.5701546812615,69.6198309573228
"ACC_028",1580.23545541727,2011.65892806815,27.9016469394989,40.2759036759447,81.5357595439631,50.1852091966132,238.303319863722,11.5851512790028,79.1099139823646
"ACC_029",1643.63528307723,1704.96444598356,26.5207343224478,43.9829908906669,82.4042741552152,48.8714003785625,203.321630809745,11.5878064737803,72.0751301908641
"ACC_030",1980.27289722653,2340.27061831932,27.0013578299235,42.6254655134825,82.6460415155856,52.6689934368633,276.892399127506,11.5879096296287,67.4451208961047
"ACC_031",1983.93871516179,2203.37380797121,26.9198840066117,44.614759645645,82.0929336476432,54.3369660252335,264.566214084754,11.5841776763271,71.3637928563578
"AFR_298",2143.16105633912,2641.04528172505,27.2209184968952,42.8688723829008,82.8953473973735,51.5974507202759,309.293908817642,11.5876242255007,71.0002791536656
"AFR_612",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFR_619",2203.00883758977,2764.31661049361,27.1598233252175,44.6624191487419,82.3681033751954,49.7749311685643,318.275325247902,11.5941696518657,75.545767465823
"AFR_708",1876.02909489425,2391.13149586447,27.5337773080362,44.0357754840255,81.7179997080484,52.4432776029077,276.32273720799,11.582285304697,76.6377560532187
"AFR_722",2086.97998270455,2675.34825826422,27.4315414577148,43.2199418110425,82.0909472633481,58.2096245015438,314.775952600358,11.5866976911882,74.3924094260266
"AFR_735",1766.07519668088,2268.31646709985,28.138107402271,40.1086125987433,81.3592298356733,51.7269368704762,269.404100503462,11.585635937172,75.6630931027295
"ALB_252",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB_252-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB_252-02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB_252-03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB_252-04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB_252-05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB_252-06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB_252-07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB_252-08",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB_252-09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB_252-10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB_252-11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB_252-12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB_252-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB_252-14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMADEUS",2105.23307878154,3234.89940868066,29.2888155922755,42.5072939016191,82.2525038098288,33.775706919006,374.241594134964,11.5915018332128,77.0854628489471
"AND_277",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAT_477",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_010",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_014",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_029",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_032",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_039",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_067",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_079",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_081",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_084",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_085",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_089",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_095",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_101",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_103",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_112",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_121",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_124",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_125",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_129",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_140",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_141",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_142",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BFS_143",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_005",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_006",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_007",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_008",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_009",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_010",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_011",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_012",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_013",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_014",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_015",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_017",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_018",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_019",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_020",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_022",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_023",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_024",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_025",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BNA_026",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRB_189",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRB_191",1752.6269197292,2083.09835983587,27.2766744689659,45.7307529950216,83.2825466726979,52.2494142211516,243.698280309709,11.5838363023197,75.5253734305608
"BRB_193",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRB_198",1880.89025961998,2410.58984611779,27.6841374948915,45.2512946732814,83.5658328294994,55.6149539187236,282.536990017313,11.586560735485,76.5283634482518
"BRB_215",2485.46294338468,2415.01787671776,25.9887065421657,40.2509865327127,81.8063940138554,48.2538440300422,276.978895151873,11.5841238324324,77.6712217594662
"BRB_264",2130.14566004168,2844.23779642686,27.7327180606177,40.2128117301013,81.0153651100773,44.1062852918019,330.755171105364,11.583332939539,81.2709749686757
"CAL_096",1849.88765225134,2378.05420479233,27.9935721791473,40.7363738627817,81.1469012555199,66.782806856756,280.540975546886,11.5958266359107,78.1684391488921
"CAL_143",2021.84758406022,2536.96533753494,27.6044627206948,43.3143938419579,82.7463451423263,50.2529654253307,303.48140241272,11.5951878715687,76.2335924433715
"CMB_004",1976.65889164745,2248.55348826026,26.6252755118373,44.4754017270473,82.4948832443831,54.1472791241112,265.469798699453,11.593057470983,78.7989569857754
"CMB_006",1398.08300544045,1534.73449345871,27.211697930372,45.3163654005743,81.7132462840846,47.0422506924682,181.898531999117,11.5891014920907,73.359935941984
"CMB_010",2302.65906843917,2826.72492585887,27.0652397376367,41.5448717068902,81.8481233642283,53.9705348968598,329.136345084362,11.5897408569813,77.1604000608646
"CMB_012",2244.97595720875,2958.48228386192,27.6087318842865,44.0757293088383,83.43031789214,45.2267068980731,345.501601987021,11.5864678555274,72.954558393407
"CMB_014",1796.74586741799,2212.39694221576,27.4966762921694,41.1016112833939,81.8863673977551,49.1252343665486,263.404291462456,11.5905359762722,73.0621568857774
"CMB_016",1757.34887498774,1910.45149561257,26.7449737000901,40.6670713536878,81.0938758382485,57.2748391012357,224.275287017869,11.5847731277576,76.1183561673515
"CMB_018",1816.61148203408,2078.51985265811,27.0408858692073,43.693814898795,82.5778071370459,55.3367888030541,246.482444878566,11.5881007057445,74.433421707404
"CMB_025",2148.21959814173,2716.27111072934,27.1211596046786,40.376442899133,81.3496178544294,54.7029945751296,312.750017250742,11.5905033934333,75.2009773688332
"CMB_036",2191.06186075987,2356.79310801588,26.3980330529109,44.3457825730014,82.6453804791856,55.3759322804518,266.978281962978,11.5897750938291,71.5436965652856
"CMB_043",2149.19969647696,2489.56139702608,26.8351409421516,41.5310188708291,82.2791975109832,53.986831628628,292.772815433296,11.5860878578271,72.7094760522931
"CMB_045",2433.03230736873,2800.37976904532,26.7099956609352,42.2928422775361,82.5718362835622,60.0112843524313,321.318371948928,11.5922657913994,74.6274048284257
"CMB_050",1714.48425722825,1922.79659720473,26.9305714795961,44.4620338404724,83.1644657823049,51.2466970325057,229.773148575595,11.5913111411912,76.9192409894184
"CMB_057",1879.11358047433,2339.01732731922,27.3892903231119,44.0139920422396,83.1465680071069,57.1007306202841,275.123836224741,11.5866864889008,76.3450318083107
"CMB_073",1659.17641163923,1997.88951561082,27.3211691797102,42.6136254296644,80.817315025818,53.0917664972684,240.017769300304,11.5915566179327,73.1821569694291
"CMB_080",2007.15379680471,2318.27280381197,26.8294097806657,41.5407700671471,81.4486081585285,50.1533572845627,273.639124004639,11.5900978269019,74.286727908549
"CMB_095",1987.20411849964,2513.96623775845,27.797396553754,45.170264342943,82.3538783044315,50.0123041797387,294.464249195675,11.5889231233958,72.9147379595725
"CMB_103",1874.24084130191,2164.55219208097,26.820054974638,41.0079582816563,82.0543195037252,54.9716773793064,261.460377518261,11.5940781242224,73.7178110301786
"CMB_105",2263.36061062305,2695.90176433079,26.82245927083,41.5328013483622,81.9712415508371,58.1314729601596,319.750480966773,11.5946508237476,73.8128292033032
"COS_016",2169.79564235799,2677.66093782491,27.8546409577721,40.1334240982519,81.4757878959554,48.746217339128,345.533430324573,11.5793809618491,76.4918944405748
"DAA_001",2183.24279312611,2992.25590934897,27.8096474148432,40.4758764609356,81.6366345694621,52.5557913009451,347.1229403009,11.5917199056566,76.4334753089895
"DAA_002",1803.52144601054,2255.30988259204,27.5669221676476,41.3179686729954,81.2768645779463,61.3738044509458,263.607198676015,11.5895261049897,76.1036228633753
"DAA_003",1801.0002436591,2097.20525380401,26.9946249523914,41.7834502730657,81.279136282351,53.9756585204492,249.649065644637,11.5880771661431,74.8092156555959
"DAA_004",1568.79777110596,1923.72411128166,27.7875644442308,39.9153120082524,81.7045968473029,47.7056746927591,229.09719344739,11.5869910638485,76.773449220024
"DAA_005",1871.70825847487,2478.65056424346,27.7991267633058,39.6244759240934,80.6944067428473,54.1152148242773,287.65891476313,11.5849791998945,74.2480585571379
"DAA_006",2111.80970601597,2368.64640584437,27.126679289057,40.7858758741478,80.8972246955121,49.5701486965924,308.554875019114,11.5887066446043,78.5430977762531
"DAA_007",1892.43262267025,2422.74546724839,27.6098688659441,41.0350713046796,81.1355650118036,50.7208229455166,282.70224524737,11.584854252664,76.5702637371077
"DAA_008",2177.57442961558,2670.20915314168,27.0432530713241,41.8871121474391,80.9245438478583,53.858420747603,313.988589276023,11.5852953183376,75.8353124071335
"DAA_009",2175.35299000421,2829.69440835189,27.3991569069537,39.8257717958726,80.2559708938344,52.9887157996508,327.674030552073,11.5842618947408,77.4984487804258
"DAA_010",2094.39731166499,2773.15271734261,27.7819003620235,39.9264487703394,81.0053181248898,55.928824845094,324.794661868536,11.5895575780033,70.9941796081426
"DAA_011",1747.95026480831,2219.18634831517,27.5680699368865,40.0683857695607,80.3107786209009,52.2682286839482,262.442995842363,11.5854739345274,78.576190092119
"DAA_012",2055.50086965152,2917.22848138127,28.1512487095637,42.9052018222413,82.3026099419809,59.306435166926,338.54255893747,11.5905427819223,73.8326471729461
"DAA_013",2016.48007522208,2463.14315470425,27.3668171799675,39.7041670193456,80.7695851547481,53.1622197155408,286.672492105958,11.5975868855015,77.8115817738837
"DAA_014",2098.43100877609,2607.2074040126,27.1992579812917,38.8489745581475,79.7536353054862,64.4421008520358,307.4961841398,11.5896773386185,79.1823900149981
"DAA_015",2048.96368737406,2712.50498866548,27.7203371886813,39.1794053143788,79.8847404900877,53.148628885173,317.596463733182,11.5898899828704,78.1334147628957
"DAA_016",2090.9759663634,2672.46941135889,27.5481395452128,41.264921830677,81.8989142440481,47.7577304818876,315.802952282655,11.5902995244043,75.1035151943274
"DAA_017",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_018",1936.72401066204,2345.22338712265,27.1850825933488,43.0735081076793,82.4973768981111,56.8477917471072,277.179498990303,11.5880367443353,74.8703731899266
"DAA_019",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_020",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_021",2119.82864466508,2580.9074393392,27.2976633456848,41.9720406020891,81.664592060238,69.4646246829385,301.866795095979,11.5873636939213,75.8055763230557
"DAA_022",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_023",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_024",2094.72171239272,2599.13833854918,27.2627736169942,40.024557146317,80.9613224279233,57.6358024790663,304.127413937246,11.5851210992372,79.878879941845
"DAA_025",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_026",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAA_027",1880.76458785833,2115.22568388435,26.637284067154,41.8129513990803,82.35710185847,56.1911086706092,246.540497902921,11.5908218675596,74.5857140741849
"DAA_028",NA,NA,NA,NA,NA,NA,NA,NA,NA
